tau_sat,b,tau_0,gamma_0,n,cd,beta,phi,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10
1.0,0.1,150.0,3.333e-05,5.0,800.0,5.0,3,2.1297,2.0878,2.0572,2.0365,2.0235,2.016,2.0117,2.0094,2.0093,2.0135
1.0,0.1,150.0,3.333e-05,5.0,1000.0,5.0,1,5.9688,5.8852,5.8124,5.7543,5.711,5.6795,5.6563,5.638,5.6237,5.6164
1.0,0.1,150.0,3.333e-05,5.0,1000.0,5.0,2,2.053,2.0483,2.0419,2.0358,2.0309,2.0275,2.0253,2.0239,2.0232,2.0234
1.0,0.1,150.0,3.333e-05,5.0,1000.0,5.0,3,2.1297,2.0878,2.0572,2.0364,2.0234,2.0157,2.0111,2.008,2.0061,2.0066
1.0,0.1,250.0,3.333e-05,1.0,200.0,5.0,1,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657
1.0,0.1,250.0,3.333e-05,1.0,200.0,5.0,2,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053
1.0,0.1,250.0,3.333e-05,1.0,200.0,5.0,3,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276
1.0,0.1,250.0,3.333e-05,1.0,400.0,5.0,1,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657
1.0,0.1,250.0,3.333e-05,1.0,400.0,5.0,2,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053
1.0,0.1,250.0,3.333e-05,1.0,400.0,5.0,3,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276
1.0,0.1,250.0,3.333e-05,1.0,600.0,5.0,1,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657
